TION 16665142795 -650 -6.499537732821678
ATIO 8806923204 -742 -7.419661421138056
THAT 8006441484 -756 -7.557138337113054
THER 6709891631 -782 -7.812010040615405
WITH 6099136075 -795 -7.949694603205051
MENT 5424670138 -812 -8.118764093558298
IONS 4103605496 -853 -8.521407463896228
THIS 3830166510 -863 -8.620892394392353
HERE 3590397215 -872 -8.714156044613661
FROM 3473404890 -877 -8.761948913103447
OULD 3254639017 -886 -8.855801968474973
TING 3206810019 -888 -8.877160619805846
HICH 3151330949 -891 -8.902338234131372
WHIC 3144376626 -891 -8.90552547599824
CTIO 3042358746 -896 -8.953109225079693
ENCE 2858704883 -905 -9.042937814761201
HAVE 2817502046 -907 -9.063882848446067
OTHE 2691858440 -913 -9.129696963266985
IGHT 2665744211 -915 -9.143761151853413
SION 2611036913 -918 -9.17367665285194
EVER 2499881214 -924 -9.236439961958656
ICAL 2492121442 -925 -9.240925133288307
THEY 2464213289 -926 -9.257172373087794
INTE 2456662311 -927 -9.261599945717464
OUGH 2398123895 -930 -9.29639331133597
ANCE 2356151685 -933 -9.321867086005167
WERE 2341551381 -934 -9.33083481073929
TIVE 2305502426 -936 -9.353218322531088
OVER 2278057794 -938 -9.370495157895096
DING 2272830002 -938 -9.373809725621443
PRES 2262436497 -939 -9.380422207762459
NTER 2233448271 -940 -9.399026665658631
COMP 2217995855 -941 -9.409042836967274
ABLE 2196502923 -943 -9.423091087047649
HEIR 2181293449 -944 -9.433115637814717
THEI 2177918715 -944 -9.435349396023021
ALLY 2160442050 -945 -9.446972972609071
ATED 2057217802 -952 -9.517604963179595
RING 2045153376 -953 -9.526090464356736
TURE 2042026168 -953 -9.528298152227086
CONT 2040414869 -953 -9.529436987142368
ENTS 2023167989 -955 -9.541683390629734
CONS 2021615245 -955 -9.54279105749241
RATI 2018379478 -955 -9.545102063481451
THIN 1996331280 -957 -9.560948358575608
PART 1980342010 -958 -9.572549897425747
FORM 1953053447 -960 -9.592568075901717
NING 1921768297 -962 -9.615865101942981
ECTI 1880194020 -965 -9.647417962819597
SOME 1855503406 -967 -9.666488856949378
PORT 1854632642 -967 -9.667166054179196
ENTI 1829441946 -969 -9.686895871106397
ONAL 1808240795 -971 -9.703712698686129
ITIO 1802906061 -971 -9.707975277965119
HING 1798474829 -972 -9.711525538184366
OUND 1783908816 -973 -9.723257632007092
WILL 1748415947 -976 -9.752251064311524
REAT 1733252336 -977 -9.764817801245051
COMM 1726950118 -978 -9.77007309415039
NDER 1726180132 -978 -9.770716484304307
TIME 1722071779 -978 -9.774154228096458
EMEN 1709331191 -979 -9.784867553078444
IONA 1693327839 -980 -9.79843819097563
MORE 1690502893 -981 -9.80084702099827
STAT 1672247222 -982 -9.816511357534969
STAN 1622628091 -986 -9.859967136393255
KING 1622079871 -987 -9.860454646697182
BEEN 1619442392 -987 -9.862802357681327
RESS 1610671325 -988 -9.870637379644146
THOU 1578072030 -991 -9.900136448425297
WHEN 1565941307 -992 -9.911269366052034
ACTI 1562721748 -992 -9.914238585401051
LATI 1547413752 -993 -9.928440505699326
THEM 1522937493 -996 -9.951442776569959
SPEC 1494738687 -998 -9.978406214205881
VERY 1493949392 -998 -9.979168228827623
SIDE 1476738068 -1000 -9.995885550953975
THES 1475557280 -1000 -9.99703957985747
WOUL 1474214280 -1000 -9.998353267736729
TAIN 1474021338 -1000 -9.998542096923302
NATI 1452154351 -1003 -10.02010469896787
RATE 1448739949 -1003 -10.023500853804919
CENT 1436800791 -1004 -10.03543945656432
OUNT 1435934830 -1004 -10.036309232166463
RESE 1423950372 -1005 -10.048400640107168
SING 1408302253 -1007 -10.064342504316121
WHAT 1385862595 -1009 -10.08751528120125
TATE 1377992861 -1010 -10.095731092100879
EVEN 1366470808 -1011 -10.107844866142168
WORK 1356427702 -1012 -10.11848735234752
UNDE 1340061158 -1014 -10.136000661715883
MBER 1325454134 -1016 -10.151812757850948
HESE 1325244022 -1016 -10.15204147309727
CIAL 1320953046 -1016 -10.15672031980293
THAN 1314018902 -1017 -10.164313477107456
ERAL 1306770966 -1018 -10.172293199634597
ATER 1303448639 -1018 -10.175965769760596
TTER 1299975118 -1018 -10.179815496089121
SENT 1288296328 -1020 -10.192835032180389
FORE 1278964621 -1021 -10.203323149252565
RACT 1266855669 -1022 -10.217047336146189
LING 1266357178 -1022 -10.217615129336718
CESS 1265633965 -1022 -10.21843928374898
INST 1252528758 -1024 -10.23345577784401
ERAT 1244870115 -1025 -10.242304280999237
COUN 1243626584 -1025 -10.243746144398536
ANGE 1228479534 -1027 -10.261425682679196
TIES 1227214014 -1027 -10.262912643126496
CATI 1209909393 -1029 -10.283400493985772
LATE 1198633561 -1030 -10.296908831644354
MPLE 1189744599 -1031 -10.30764760058077
INTO 1188978023 -1031 -10.308577457152353
EACH 1186246426 -1032 -10.31189576518116
DENT 1186113181 -1032 -10.312057824845466
SERV 1178010518 -1033 -10.32194708528906
ONLY 1177468245 -1033 -10.322611353287018
ABOU 1175410512 -1033 -10.325134799886285
TATI 1174665725 -1033 -10.326049238770914
REAS 1158168594 -1035 -10.34645422477837
IOUS 1155815357 -1035 -10.349388561912319
SSIO 1153308967 -1036 -10.35252044857851
MOST 1151903072 -1036 -10.354280180837328
ESTI 1150736501 -1036 -10.355741986982597
NESS 1141346404 -1037 -10.367562782926042
CTIV 1138786553 -1038 -10.370802143052064
LITY 1137752126 -1038 -10.37211322361329
ICAT 1137324593 -1038 -10.372655446862716
STER 1136283023 -1038 -10.373977282668475
ERED 1133896103 -1038 -10.3770110511262
FERE 1121598093 -1040 -10.392743704201648
ATES 1117577871 -1040 -10.397924146170253
LECT 1115392112 -1041 -10.400748532255342
